City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
93,Kodiak,57.79,-152.4072,26.11,50,0,17.27,US,2023-04-18 13:47:47
94,Galle,6.0367,80.217,82.99,72,14,4.99,LK,2023-04-18 13:56:19
95,Mataura,-46.1927,168.8643,52.48,94,100,4.56,NZ,2023-04-18 13:46:56
96,Hofn,64.2539,-15.2082,46.92,99,100,4.18,IS,2023-04-18 13:48:18
97,Cayenne,4.9333,-52.3333,77.04,94,75,0.0,GF,2023-04-18 13:56:20
98,Saint-Pierre,-21.3393,55.4781,80.28,69,100,3.44,RE,2023-04-18 13:47:08
99,Tazovskiy,67.4667,78.7,16.23,90,100,13.31,RU,2023-04-18 13:56:20
100,Glomfjord,66.8167,13.9667,44.33,80,100,3.67,NO,2023-04-18 13:56:21
101,Rus,38.0476,-3.4625,82.35,14,9,2.57,ES,2023-04-18 13:56:21
102,Beringovskiy,63.05,179.3167,22.33,95,95,8.05,RU,2023-04-18 13:47:56
103,Quatre Cocos,-20.2078,57.7625,78.91,84,94,11.83,MU,2023-04-18 13:48:14
104,Namibe,-15.1961,12.1522,81.95,63,12,12.82,AO,2023-04-18 13:46:45
105,College,64.8569,-147.8028,24.78,65,75,9.22,US,2023-04-18 13:47:11
106,Mount Isa,-20.7333,139.5,73.17,83,75,2.3,AU,2023-04-18 13:47:22
107,Arraial Do Cabo,-22.9661,-42.0278,87.66,62,0,4.61,BR,2023-04-18 13:46:52
108,Salym,60.0625,71.4789,18.61,83,57,4.43,RU,2023-04-18 13:56:22
109,Tiksi,71.6872,128.8694,2.77,100,100,5.39,RU,2023-04-18 13:46:50
110,Nantucket,41.2835,-70.0995,57.09,64,0,21.85,US,2023-04-18 13:45:43
111,Hirado,33.3597,129.5531,70.39,95,92,19.3,JP,2023-04-18 13:56:23
112,Sitka,57.0531,-135.33,33.69,80,0,0.0,US,2023-04-18 13:47:45
113,Huambo,-12.7761,15.7392,73.2,56,100,9.22,AO,2023-04-18 13:56:24
114,Bethel,41.3712,-73.414,53.55,57,75,10.36,US,2023-04-18 13:46:51
115,Port Hueneme,34.1478,-119.1951,55.78,90,100,0.0,US,2023-04-18 13:51:34
116,San Pedro,14.35,121.0167,85.35,77,20,6.91,PH,2023-04-18 13:56:25
117,Mandera,3.9366,41.867,91.18,43,98,3.83,KE,2023-04-18 13:56:25
118,Ponta Delgada,37.7333,-25.6667,63.32,59,40,13.8,PT,2023-04-18 13:48:00
119,Kapaa,22.0752,-159.319,73.72,87,40,11.5,US,2023-04-18 13:46:50
120,Biltine,14.5333,20.9167,104.56,10,10,11.45,TD,2023-04-18 13:56:25
121,Safaga,26.7292,33.9365,83.07,42,2,5.17,EG,2023-04-18 13:56:26
122,Krasnovishersk,60.4078,57.082,38.01,69,54,5.91,RU,2023-04-18 13:56:26
123,Malinao,7.5917,124.6889,71.55,86,21,1.63,PH,2023-04-18 13:56:26
124,Sawakin,19.1059,37.3321,85.73,39,0,11.79,SD,2023-04-18 13:56:27
125,Bristol,41.8334,-71.1662,57.67,52,0,13.8,US,2023-04-18 13:56:27
126,Moba,33.2288,105.0179,64.87,52,99,4.63,CN,2023-04-18 13:56:27
127,Tual,-5.6667,132.75,83.44,72,100,8.72,ID,2023-04-18 13:56:28
128,Castro,-24.7911,-50.0119,64.33,98,100,6.69,BR,2023-04-18 13:45:06
129,Mudgee,-32.5943,149.5871,53.78,94,21,4.25,AU,2023-04-18 13:56:28
130,Santa Isabel Do Rio Negro,-0.4139,-65.0192,83.16,77,99,2.01,BR,2023-04-18 13:56:29
131,Belmonte,-15.8631,-38.8828,85.01,65,12,7.38,BR,2023-04-18 13:56:29
132,Puerto Ayora,-0.7393,-90.3518,78.55,100,53,2.37,EC,2023-04-18 13:44:00
133,Anadyr,64.75,177.4833,28.9,80,75,11.18,RU,2023-04-18 13:56:30
